step,nodes,angles,length
step 275 (to tan),tan 12 in = hem 6 out,left 3 head 50 tail 121,cut 32 1/8 inches
step 517 (to gun),gun 9 in = and 4 out,right 6 head 53 tail 114,cut 32 1/8 inches
step 646 IN! (to too),too.2 out = apt.1 out,right 2 head 78 tail 77,cut 32 1/4 inches
step 238 (to pet),pet 11 in = mac 6 out,left 5 head 51 tail 117,cut 32 1/4 inches
step 553 (to pen),pen 9 in = aim 5 out,right 12 head 53 tail 116,cut 32 1/4 inches
step 271 (to tan),tan 8 in = arm 4 out,right 1 head 54 tail 117,cut 32 3/8 inches
step 398 (to log),log 6 in = did 5 out,left 6 head 55 tail 103,cut 32 3/8 inches
step 466 IN! (to mob),mob.3 out = hoe.3 out,left 1 head 75 tail 76,cut 32 3/8 inches
step 86 IN! (to try),try.1 out = duh.2 out,right 2 head 79 tail 80,cut 32 3/8 inches
step 628 (to pin),pin 7 in = din 6 out,right 8 head 53 tail 123,cut 32 3/8 inches
step 487 IN! (to pub),pub.1 out = may.2 out,right 0 head 79 tail 81,cut 32 5/8 inches
step 586 (to cup),cup 7 in = his 5 out,right 8 head 54 tail 114,cut 32 3/4 inches
step 372 (to lip),lip 11 in = dew 6 out,left 6 head 52 tail 117,cut 32 3/4 inches
step 554 (to pen),pen 10 in = hey 7 out,right 6 head 54 tail 118,cut 32 3/4 inches
step 473 (to lot),lot 10 in = too 4 out,right 2 head 54 tail 103,cut 32 7/8 inches
step 103 (to tad),tad 10 in = ham 7 out,left 1 head 51 tail 124,cut 32 7/8 inches
step 411 (to guy),guy 10 in = dip 4 out,right 4 head 53 tail 121,cut 32 7/8 inches
step 379 (to pie),pie 6 in = rad 4 out,right 2 head 56 tail 116,cut 32 7/8 inches
step 601 (to git),git 11 in = pot 5 out,right 0 head 53 tail 106,cut 32 7/8 inches
step 507 (to loo),loo 9 in = men 6 out,left 11 head 54 tail 82,cut 32 7/8 inches
step 486 (to gut),gut 11 in = pub 6 out,right 4 head 52 tail 110,cut  33  inches
step 665 (to pic),pic 6 in = pot 3 out,right 6 head 56 tail 116,cut  33  inches
step 61 (to aid),aid 9 in = mat 4 out,left 4 head 54 tail 116,cut  33  inches
step 574 (to gym),gym 7 in = rap 4 out,right 6 head 56 tail 104,cut 33 1/8 inches
step 323 IN! (to rag),rag.1 out = arm.2 out,right 3 head 76 tail 78,cut 33 1/8 inches
step 63 (to aid),aid 11 in = ram 6 out,left 3 head 52 tail 112,cut 33 1/8 inches
step 401 (to log),log 9 in = rat 5 out,right 11 head 54 tail 103,cut 33 1/4 inches
step 477 IN! (to hem),hem.3 out = and.1 out,left 1 head 71 tail 69,cut 33 1/4 inches
step 139 (to lob),lob 10 in = tie 5 out,right 7 head 54 tail 111,cut 33 1/4 inches
step 589 (to cup),cup 10 in = dog 4 out,left 2 head 54 tail 114,cut 33 1/4 inches
step 460 (to tar),tar 8 in = quo 5 out,left 18 head 54 tail 126,cut 33 1/4 inches
step 587 (to cup),cup 8 in = tin 4 out,right 0 head 55 tail 111,cut 33 3/8 inches
step 651 IN! (to apt),apt.2 out = ask.1 out,right 0 head 90 tail 90,cut 33 3/8 inches
step 676 (to gum),gum 5 in = mit 4 out,right 11 head 57 tail 113,cut 33 3/8 inches
step 672 (to lop),lop 8 in = tin 6 out,right 0 head 54 tail 117,cut 33 3/8 inches
step 648 (to add),add 5 in = apt 4 out,right 1 head 57 tail 119,cut 33 1/2 inches
step 381 (to pie),pie 8 in = mag 5 out,left 3 head 55 tail 117,cut 33 1/2 inches
step 325 IN! (to arm),arm.1 out = hem.2 out,left 1 head 90 tail 90,cut 33 1/2 inches
step 578 (to gym),gym 11 in = mit 5 out,left 6 head 54 tail 106,cut 33 1/2 inches
step 317 (to cut),cut 7 in = hem 4 out,right 9 head 56 tail 111,cut 33 1/2 inches
step 605 IN! (to max),max.3 out = tic.3 out,left 1 head 69 tail 70,cut 33 1/2 inches
step 73 (to ado),ado 10 in = pug 5 out,left 6 head 54 tail 106,cut 33 1/2 inches
step 652 IN! (to ask),ask.2 out = ale.1 out,right 4 head 78 tail 77,cut 33 5/8 inches
step 201 (to gin),gin 7 in = due 5 out,left 4 head 56 tail 110,cut 33 5/8 inches
step 623 IN! (to maw),maw.3 out = her.2 out,right 1 head 69 tail 68,cut 33 3/4 inches
step 677 (to gum),gum 6 in = map 3 out,left 4 head 57 tail 113,cut 33 3/4 inches
step 287 (to cub),cub 11 in = tip 6 out,right 5 head 53 tail 118,cut 33 3/4 inches
step 409 (to guy),guy 8 in = ape 5 out,left 7 head 55 tail 118,cut 33 3/4 inches
step 262 (to cow),cow 11 in = mob 6 out,left 8 head 53 tail 115,cut 33 3/4 inches
step 497 (to abs),abs 11 in = man 4 out,left 12 head 55 tail 79,cut 33 3/4 inches
step 602 (to git),git 12 in = dip 6 out,left 4 head 53 tail 107,cut 33 3/4 inches
step 10 (to cot),cot 9 in = dim 4 out,right 4 head 55 tail 113,cut 33 3/4 inches
step 394 IN! (to hit),hit.2 out = tom.1 out,right 2 head 75 tail 75,cut 33 7/8 inches
step 668 IN! (to tic),tic.2 out = pot.1 out,right 1 head 80 tail 78,cut 33 7/8 inches
step 410 (to guy),guy 9 in = tom 4 out,right 2 head 55 tail 120,cut 33 7/8 inches
step 162 (to poi),poi 11 in = toy 6 out,right 1 head 53 tail 116,cut 33 7/8 inches
step 520 (to gun),gun 12 in = dig 4 out,left 7 head 54 tail 114,cut 33 7/8 inches
step 261 (to cow),cow 10 in = hid 4 out,right 16 head 55 tail 118,cut 33 7/8 inches
step 459 (to tar),tar 7 in = hoe 5 out,left 2 head 56 tail 127,cut 33 7/8 inches
step 597 (to git),git 7 in = tic 5 out,left 9 head 56 tail 110,cut 33 7/8 inches
step 408 (to guy),guy 7 in = hew 4 out,left 6 head 56 tail 117,cut  34  inches
step 160 (to poi),poi 9 in = arm 5 out,right 4 head 55 tail 111,cut 34 1/8 inches
step 664 (to pic),pic 5 in = ale 4 out,left 7 head 58 tail 114,cut 34 1/4 inches
step 16 (to low),low 7 in = ass 4 out,right 8 head 57 tail 109,cut 34 1/4 inches
step 59 (to aid),aid 7 in = try 5 out,right 10 head 56 tail 112,cut 34 1/4 inches
step 619 (to get),get 7 in = her 4 out,left 14 head 57 tail 99,cut 34 1/2 inches
step 681 (to lid),lid 5 in = aim 4 out,left 2 head 58 tail 121,cut 34 5/8 inches
step 620 (to get),get 8 in = hip 6 out,left 3 head 56 tail 107,cut 34 3/4 inches
step 75 (to ado),ado 12 in = dub 6 out,right 1 head 54 tail 106,cut 34 3/4 inches
step 306 (to lye),lye 8 in = dot 4 out,left 6 head 57 tail 103,cut 34 3/4 inches
step 575 (to gym),gym 8 in = his 4 out,left 3 head 57 tail 109,cut 34 3/4 inches
step 515 (to gun),gun 7 in = too 5 out,left 1 head 57 tail 115,cut 34 3/4 inches
step 644 (to pod),pod 7 in = too 6 out,right 1 head 56 tail 119,cut 34 7/8 inches
step 360 (to gnu),gnu 8 in = pub 4 out,left 4 head 57 tail 113,cut 34 7/8 inches
step 621 (to get),get 9 in = maw 4 out,right 3 head 57 tail 106,cut 35 1/4 inches
step 447 (to dad),dad 7 in = men 5 out,right 12 head 58 tail 96,cut 35 1/4 inches
step 149 (to dab),dab 10 in = tow 4 out,left 2 head 57 tail 105,cut 35 3/8 inches
step 353 IN! (to hat),hat.2 out = man.3 out,right 0 head 75 tail 76,cut 35 3/8 inches
step 308 (to lye),lye 10 in = men 4 out,right 0 head 57 tail 107,cut 35 3/8 inches
step 253 IN! (to hog),hog.2 out = pro.3 out,right 1 head 74 tail 76,cut 35 3/8 inches
step 179 (to tap),tap 8 in = til 4 out,right 8 head 58 tail 109,cut 35 5/8 inches
step 682 (to lid),lid 6 in = mit 3 out,left 5 head 59 tail 120,cut 35 3/4 inches
step 629 IN! (to din),din.1 out = amp.2 out,right 1 head 74 tail 75,cut  36  inches
step 260 (to cow),cow 9 in = dug 5 out,left 3 head 57 tail 117,cut 36 1/4 inches
step 670 (to lop),lop 6 in = map 4 out,right 8 head 60 tail 108,cut 36 7/8 inches
step 500 IN! (to did),did.2 out = hip.3 out,left 1 head 65 tail 65,cut 37 3/8 inches
step 537 (to pit),pit 8 in = two 5 out,right 12 head 59 tail 123,cut 37 1/2 inches
step 527 (to age),age 6 in = any 6 out,right 3 head 68 tail 116,cut 40 1/8 inches
step 534 (to pit),pit 3 in = lop 4 in,left 5 head 80 tail 99,cut 63 1/8 inches
step 134 (to lob),lob 3 in = gnu 4 in,right 3 head 80 tail 70,cut 67 7/8 inches
step 185 IN! (to ram),ram.2 out = mod.1 out,right 0 head 90 tail 90,T1.1 (28 1/4) 28.1
step 251 (to pig),pig 11 in = dot 6 out,right 3 head 53 tail 111,T1.2 (61 7/8) 33.5
step 300 IN! (to pro),pro.2 out = all.1 out,right 0 head 90 tail 90,T1.3 (90 5/8) 28.5
step 151 (to dab),dab 12 in = due 6 out,left 3 head 55 tail 110,T1.4 ( 126 ) 35.3
step 38 (to tea),tea 7 in = toy 5 out,left 4 head 51 tail 116,T2.1 (30 3/8) 30.3
step 235 (to pet),pet 8 in = dug 4 out,right 3 head 55 tail 116,T2.2 (64 1/8) 33.6
step 11 (to cot),cot 10 in = mat 6 out,right 1 head 49 tail 115,T2.3 (94 7/8) 30.6
step 60 (to aid),aid 8 in = hen 7 out,right 3 head 51 tail 113,T2.4 ( 126 ) 31
step 265 IN! (to the),the.2 out = are.1 out,right 0 head 90 tail 90,T3.1 (30 7/8) 30.7
step 94 (to gig),gig 9 in = den 8 out,right 2 head 52 tail 116,T3.2 (63 1/4) 32.3
step 37 (to tea),tea 6 in = tug 4 out,right 9 head 53 tail 113,T3.3 (94 3/8) 31
step 205 (to gin),gin 11 in = top 8 out,right 3 head 47 tail 106,T3.4 ( 126 ) 31.5
step 228 (to cry),cry 10 in = mag 6 out,left 7 head 47 tail 125,T4.1 (29 5/8) 29.6
step 9 (to cot),cot 8 in = had 6 out,right 6 head 49 tail 116,T4.2 (59 5/8) 29.8
step 193 (to pew),pew 9 in = ham 8 out,left 9 head 49 tail 115,T4.3 (91 3/8) 31.6
step 258 (to cow),cow 7 in = air 4 out,right 5 head 57 tail 117,T4.4 ( 126 ) 34.5
step 132 (to lob),lob 1 in = cry 5 in,left 3 head 80 tail 67,T5.1 (47 3/4) 47.6
step 195 (to pew),pew 11 in = mad 6 out,right 1 head 50 tail 113,T5.2 (79 5/8) 31.6
step 156 (to poi),poi 4 in = ace 3 in,right 0 head 70 tail 76,T5.3 ( 126 ) 46.3
step 99 (to tad),tad 5 in = gin 6 in,right 6 head 62 tail 83,T6.1 (45 7/8) 45.8
step 70 (to ado),ado 7 in = tie 6 out,left 3 head 54 tail 109,T6.2 (78 1/2) 32.5
step 79 (to act),act 2 in = tap 3 in,left 5 head 76 tail 81,T6.3 ( 126 ) 47.4
step 62 (to aid),aid 10 in = mod 5 out,left 7 head 53 tail 116,T7.1 (32 7/8) 32.8
step 249 (to pig),pig 9 in = hog 5 out,left 1 head 55 tail 110,T7.2 (67 1/2) 34.4
step 65 IN! (to mat),mat.3 out = try.3 out,right 2 head 74 tail 75,T7.3 (96 5/8) 29
step 131 IN! (to had),had.3 out = the.3 out,right 1 head 78 tail 77,T7.4 ( 126 ) 29.2
step 276 IN! (to pow),pow.1 out = mag.2 out,right 0 head 90 tail 90,T8.1 ( 30 ) 29.9
step 113 (to tab),tab 9 in = tug 6 out,right 2 head 53 tail 120,T8.2 (63 1/4) 33.1
step 278 IN! (to dub),dub.3 out = arm.3 out,left 1 head 90 tail 90,T8.3 (93 3/4) 30.3
step 142 IN! (to asp),asp.2 out = him.3 out,right 0 head 90 tail 90,T8.4 ( 126 ) 32.2
step 29 (to aby),aby 10 in = den 7 out,right 7 head 52 tail 115,T9.1 (32 5/8) 32.5
step 101 (to tad),tad 8 in = duh 5 out,left 4 head 56 tail 124,T9.2 (67 1/8) 34.3
step 77 IN! (to pug),pug.3 out = asp.3 out,right 0 head 90 tail 90,T9.3 (96 1/4) 29
step 83 (to act),act 8 in = mid 6 out,left 2 head 49 tail 126,T9.4 ( 126 ) 29.6
step 240 IN! (to mac),mac.1 out = pop.2 out,right 1 head 90 tail 90,T10.1 (28 3/4) 28.7
step 163 IN! (to toy),toy.1 out = dub.2 out,right 1 head 77 tail 76,T10.2 (60 7/8) 31.9
step 186 IN! (to ram),ram.3 out = mid.2 out,right 1 head 80 tail 80,T10.3 (91 1/8) 30
step 213 (to ace),ace 7 in = rag 4 out,right 0 head 57 tail 106,T10.4 ( 126 ) 34.8
step 31 IN! (to dim),dim.2 out = mat.1 out,left 2 head 80 tail 79,T11.1 (29 5/8) 29.5
step 161 (to poi),poi 10 in = rag 6 out,right 1 head 51 tail 117,T11.2 (61 3/8) 31.6
step 187 IN! (to mod),mod.2 out = til.1 out,right 0 head 90 tail 90,T11.3 (91 3/8) 29.8
step 214 (to ace),ace 8 in = pun 5 out,right 7 head 56 tail 107,T11.4 ( 126 ) 34.5
step 81 (to act),act 6 in = ram 5 out,right 3 head 52 tail 121,T12.1 (30 7/8) 30.8
step 26 (to aby),aby 7 in = ant 8 out,right 7 head 51 tail 114,T12.2 (63 1/8) 32
step 27 (to aby),aby 8 in = dim 5 out,left 6 head 51 tail 120,T12.3 (94 1/8) 30.8
step 111 (to tab),tab 7 in = mic 6 out,right 2 head 53 tail 121,T12.4 ( 126 ) 31.8
step 212 (to ace),ace 5 in = pix 4 in,left 2 head 73 tail 71,T13.1 (43 5/8) 43.5
step 194 (to pew),pew 10 in = mid 4 out,right 11 head 55 tail 118,T13.2 (77 1/2) 33.7
step 211 (to ace),ace 4 in = guy 5 in,right 6 head 80 tail 67,T13.3 ( 126 ) 48.4
step 224 (to cry),cry 6 in = pow 4 out,right 7 head 51 tail 121,T14.1 (29 3/4) 29.6
step 169 (to cue),cue 7 in = pro 5 out,right 0 head 51 tail 117,T14.2 (60 1/4) 30.4
step 96 (to gig),gig 11 in = air 6 out,left 2 head 50 tail 117,T14.3 (92 1/8) 31.6
step 293 (to goo),goo 7 in = hat 5 out,right 1 head 56 tail 108,T14.4 ( 126 ) 33.8
step 130 IN! (to had),had.2 out = hen.1 out,left 6 head 77 tail 71,T15.1 (40 3/4) 40.6
step 48 (to ply),ply 10 in = ant 7 out,right 6 head 55 tail 115,T15.2 (76 5/8) 35.7
step 155 (to poi),poi 1 in = tan 2 in,right 3 head 77 tail 70,T15.3 ( 126 ) 49.3
step 229 IN! (to tie),tie.1 out = pow.3 out,left 2 head 76 tail 78,T16.1 (31 7/8) 31.8
step 172 (to cue),cue 10 in = til 6 out,left 5 head 52 tail 113,T16.2 (64 1/8) 32
step 40 (to tea),tea 9 in = pug 6 out,right 7 head 49 tail 114,T16.3 (94 1/4) 30
step 159 (to poi),poi 8 in = mic 5 out,left 1 head 53 tail 111,T16.4 ( 126 ) 31.6
step 298 (to goo),goo 12 in = pro 6 out,left 3 head 54 tail 108,T17.1 (34 7/8) 34.7
step 206 IN! (to ham),ham.1 out = ark.2 out,left 2 head 90 tail 90,T17.2 ( 75 ) 40
step 188 (to pew),pew 1 in = gin 2 in,right 3 head 76 tail 83,T17.3 ( 126 ) 50.9
step 30 IN! (to dim),dim.1 out = ant.2 out,right 4 head 90 tail 90,T18.1 ( 41 ) 40.9
step 183 (to tap),tap 12 in = mod 6 out,left 1 head 55 tail 109,T18.2 (76 7/8) 35.7
step 4 (to cot),cot 2 in = lie 3 in,right 5 head 79 tail 76,T18.3 ( 126 ) 49
step 106 IN! (to ass),ass.2 out = duh.1 out,left 1 head 80 tail 80,T19.1 (32 1/4) 32.1
step 286 (to cub),cub 10 in = dry 6 out,left 1 head 52 tail 119,T19.2 (64 7/8) 32.5
step 85 (to act),act 10 in = try 6 out,left 3 head 47 tail 126,T19.3 (94 5/8) 29.5
step 20 (to low),low 11 in = duh 6 out,right 0 head 50 tail 112,T19.4 ( 126 ) 31.3
step 82 (to act),act 7 in = duh 4 out,right 3 head 54 tail 120,T20.1 (32 1/4) 32.2
step 112 (to tab),tab 8 in = mac 4 out,right 8 head 56 tail 118,T20.2 (66 3/8) 33.9
step 105 IN! (to ass),ass.1 out = tow.2 out,right 0 head 90 tail 90,T20.3 (95 7/8) 29.3
step 266 IN! (to air),air.3 out = dug.3 out,left 1 head 79 tail 79,T20.4 ( 126 ) 30.1
step 114 (to tab),tab 10 in = den 5 out,left 5 head 61 tail 112,T21.1 (43 1/4) 43.1
step 146 (to dab),dab 7 in = dry 4 out,right 7 head 57 tail 107,T21.2 (77 1/2) 34.1
step 68 (to ado),ado 4 in = poi 3 in,right 0 head 75 tail 69,T21.3 ( 126 ) 48.4
step 19 (to low),low 10 in = try 4 out,left 6 head 56 tail 111,T22.1 (34 1/2) 34.4
step 219 IN! (to mic),mic.2 out = pop.1 out,left 1 head 77 tail 79,T22.2 (74 7/8) 40.2
step 58 (to aid),aid 6 in = tap 7 in,left 9 head 71 tail 72,T22.3 ( 126 ) 51
step 277 IN! (to pow),pow.2 out = dub.1 out,right 1 head 78 tail 76,T23.1 (30 1/4) 30.1
step 171 (to cue),cue 9 in = hog 6 out,right 4 head 52 tail 113,T23.2 ( 62 ) 31.6
step 168 (to cue),cue 6 in = mod 4 out,right 8 head 53 tail 113,T23.3 (93 1/4) 31
step 241 IN! (to mac),mac.2 out = air.1 out,right 1 head 80 tail 79,T23.4 ( 126 ) 32.7
step 189 (to pew),pew 4 in = coy 3 in,left 16 head 78 tail 71,T24.1 (46 1/4) 46.1
step 225 (to cry),cry 7 in = has 5 out,right 4 head 54 tail 121,T24.2 (78 3/4) 32.3
step 67 (to ado),ado 3 in = lob 5 in,right 1 head 75 tail 71,T24.3 ( 126 ) 47.2
step 207 IN! (to ham),ham.3 out = dew.3 out,right 8 head 68 tail 73,T25.1 (40 1/4) 40.1
step 50 (to ply),ply 12 in = tow 6 out,right 8 head 55 tail 114,T25.2 (76 1/2) 36
step 97 (to tad),tad 1 in = dab 2 in,right 0 head 68 tail 96,T25.3 ( 126 ) 49.4
step 121 (to lie),lie 4 in = cue 5 in,left 6 head 70 tail 70,T26.1 (49 3/8) 49.2
step 28 (to aby),aby 9 in = tug 5 out,left 13 head 52 tail 119,T26.2 (80 7/8) 31.3
step 167 (to cue),cue 4 in = goo 5 in,left 4 head 71 tail 75,T26.3 ( 126 ) 45
step 55 (to aid),aid 2 in = cue 1 in,right 2 head 78 tail 80,T27.1 (42 3/4) 42.7
step 234 (to pet),pet 7 in = pop 5 out,right 13 head 56 tail 115,T27.2 (77 1/2) 34.5
step 244 (to pig),pig 3 in = lye 4 in,left 2 head 65 tail 70,T27.3 ( 126 ) 48.4
step 52 IN! (to ant),ant.1 out = pug.2 out,right 3 head 90 tail 90,T28.1 (39 1/4) 39.2
step 127 (to lie),lie 11 in = the 4 out,left 11 head 57 tail 107,T28.2 ( 76 ) 36.6
step 269 (to tan),tan 5 in = lot 6 in,left 9 head 65 tail 78,T28.3 ( 126 ) 49.8
step 133 (to lob),lob 2 in = dab 3 in,right 3 head 74 tail 73,T29.1 (48 7/8) 48.8
step 284 (to cub),cub 8 in = mar 5 out,left 1 head 55 tail 117,T29.2 (80 5/8) 31.5
step 25 (to aby),aby 5 in = tab 6 in,left 7 head 79 tail 71,T29.3 ( 126 ) 45.3
step 220 IN! (to mic),mic.3 out = rag.2 out,right 2 head 73 tail 75,T30.1 (41 3/8) 41.2
step 76 IN! (to pug),pug.1 out = toy.3 out,left 1 head 70 tail 73,T30.2 ( 77 ) 35.4
step 143 (to dab),dab 1 in = cub 4 in,right 3 head 78 tail 67,T30.3 ( 126 ) 48.9
step 39 (to tea),tea 8 in = ant 5 out,left 9 head 61 tail 105,T31.1 ( 39 ) 38.9
step 47 (to ply),ply 9 in = asp 4 out,left 1 head 58 tail 113,T31.2 ( 76 ) 36.8
step 267 (to tan),tan 1 in = pie 2 in,right 3 head 79 tail 78,T31.3 ( 126 ) 49.9
step 18 (to low),low 9 in = ant 6 out,left 6 head 62 tail 104,T32.1 (41 3/4) 41.7
step 184 (to tap),tap 13 in = ram 4 out,left 5 head 55 tail 112,T32.2 (77 1/8) 35.2
step 78 (to act),act 1 in = tad 2 in,left 3 head 90 tail 90,T32.3 ( 126 ) 48.8
step 230 IN! (to tie),tie.3 out = dib.3 out,right 5 head 79 tail 78,T33.1 (39 1/2) 39.4
step 17 (to low),low 8 in = mat 5 out,right 6 head 58 tail 109,T33.2 (76 1/8) 36.3
step 122 (to lie),lie 5 in = cow 4 in,left 7 head 74 tail 67,T33.3 ( 126 ) 49.8
step 138 (to lob),lob 9 in = dry 5 out,left 4 head 53 tail 112,T34.1 (32 1/8) 32
step 3 (CC triagle),aby 6 in = low 5 in,left 7 head 68 tail 75,T34.2 (74 3/8) 42.1
step 123 (to lie),lie 6 in = lye 5 in,right 10 head 70 tail 77,T34.3 ( 126 ) 51.5
step 233 (to pet),pet 5 in = guy 4 in,left 7 head 75 tail 74,T35.1 (47 1/8) 47
step 115 (to tab),tab 11 in = pop 6 out,left 6 head 50 tail 123,T35.2 ( 79 ) 31.8
step 14 (to low),low 3 in = tad 6 in,right 7 head 90 tail 90,T35.3 ( 126 ) 46.9
step 283 (to cub),cub 7 in = pub 5 out,left 3 head 60 tail 112,T36.1 ( 38 ) 37.9
step 116 IN! (to den),den.1 out = tug.2 out,left 1 head 90 tail 90,T36.2 (75 5/8) 37.4
step 256 (to cow),cow 3 in = lug 4 in,left 9 head 74 tail 79,T36.3 ( 126 ) 50.3
step 166 (to cue),cue 3 in = tap 4 in,right 5 head 70 tail 69,T37.1 (49 1/8) 49
step 254 IN! (to hog),hog.3 out = tot.3 out,right 0 head 78 tail 77,T37.2 (80 3/4) 31.5
step 148 (to dab),dab 9 in = mar 8 out,left 3 head 59 tail 97,T37.3 ( 126 ) 45.2
step 321 (to cut),cut 11 in = arm 6 out,left 3 head 50 tail 112,T38.1 (31 1/2) 31.4
step 158 (to poi),poi 7 in = dub 4 out,left 4 head 55 tail 110,T38.2 (64 5/8) 32.8
step 416 IN! (to tom),tom.3 out = hew.3 out,right 0 head 79 tail 79,T38.3 (95 1/4) 30.5
step 382 (to pie),pie 9 in = met 5 out,right 3 head 51 tail 117,T38.4 ( 126 ) 30.6
step 140 (to lob),lob 11 in = asp 6 out,left 6 head 53 tail 110,T39.1 (33 7/8) 33.8
step 424 (to lug),lug 11 in = pup 6 out,left 5 head 54 tail 113,T39.2 (68 1/8) 34.1
step 324 IN! (to rag),rag.3 out = hit.3 out,right 0 head 78 tail 79,T39.3 (96 5/8) 28.3
step 380 (to pie),pie 7 in = has 3 out,left 7 head 51 tail 114,T39.4 ( 126 ) 29.2
step 418 (to lug),lug 3 in = git 4 in,left 9 head 69 tail 74,T40.1 (50 7/8) 50.7
step 415 IN! (to pun),pun.2 out = ape.1 out,right 0 head 90 tail 90,T40.2 (80 5/8) 29.6
step 338 (to coy),coy 2 in = ads 1 in,right 0 head 70 tail 103,T40.3 ( 126 ) 45.3
step 322 (to cut),cut 12 in = dig 6 out,right 6 head 50 tail 112,T41.1 (31 7/8) 31.7
step 310 (to lye),lye 12 in = tot 6 out,right 5 head 53 tail 106,T41.2 (65 1/2) 33.5
step 344 (to coy),coy 10 in = art 7 out,right 10 head 44 tail 124,T41.3 (95 5/8) 30
step 414 IN! (to pun),pun.1 out = tom.2 out,left 1 head 80 tail 82,T41.4 ( 126 ) 30.2
