step,nodes,angles,length
step 264 IN! (to the),the.1 out = air.2 out,left 1 head 90 tail 90,T42.1 (33 5/8) 33.5
step 170 (to cue),cue 8 in = hen 6 out,left 7 head 61 tail 106,T42.2 (74 1/2) 40.7
step 108 (to tab),tab 1 in = poi 2 in,right 0 head 70 tail 79,T42.3 ( 126 ) 51.4
step 104 (to tad),tad 11 in = ass 6 out,right 8 head 52 tail 124,T43.1 (33 1/4) 33.2
step 373 (to lip),lip 12 in = dog 6 out,right 6 head 53 tail 116,T43.2 (67 3/8) 34
step 384 IN! (to mag),mag.3 out = rad.3 out,left 1 head 80 tail 79,T43.3 (96 5/8) 29
step 392 (to pix),pix 10 in = hit 6 out,right 0 head 47 tail 117,T43.4 ( 126 ) 29.3
step 351 (to ads),ads 10 in = two 6 out,left 10 head 50 tail 105,T44.1 (30 3/4) 30.7
step 87 IN! (to try),try.2 out = ram.1 out,right 0 head 90 tail 90,T44.2 ( 62 ) 31.1
step 71 (to ado),ado 8 in = toy 4 out,right 2 head 54 tail 109,T44.3 ( 94 ) 31.8
step 349 (to ads),ads 8 in = hat 6 out,left 3 head 53 tail 101,T44.4 ( 126 ) 31.9
step 301 IN! (to til),til.3 out = hat.3 out,right 0 head 77 tail 77,T45.1 (31 1/4) 31.1
step 239 (to pet),pet 12 in = ape 6 out,right 3 head 51 tail 117,T45.2 ( 64 ) 32.6
step 389 (to pix),pix 7 in = hew 5 out,left 3 head 52 tail 113,T45.3 (94 3/4) 30.5
step 359 (to gnu),gnu 7 in = has 4 out,right 4 head 53 tail 112,T45.4 ( 126 ) 31.2
step 352 IN! (to hat),hat.1 out = art.2 out,right 10 head 78 tail 74,T46.1 (42 3/8) 42.3
step 393 IN! (to hit),hit.1 out = dig.3 out,left 3 head 74 tail 76,T46.2 (76 3/4) 34.2
step 44 (to ply),ply 4 in = tad 3 in,left 3 head 78 tail 72,T46.3 ( 126 ) 49.1
step 333 (to tax),tax 11 in = hey 8 out,left 2 head 56 tail 106,T47.1 (35 1/4) 35.2
step 173 IN! (to hen),hen.2 out = hog.1 out,right 2 head 90 tail 90,T47.2 (74 1/2) 39
step 210 (to ace),ace 2 in = pet 1 in,right 2 head 90 tail 90,T47.3 ( 126 ) 51.4
step 294 (to goo),goo 8 in = all 4 out,right 6 head 56 tail 107,T48.1 (34 1/8) 34
step 362 (to gnu),gnu 10 in = dib 8 out,right 3 head 62 tail 113,T48.2 (74 1/2) 40.2
step 198 (to gin),gin 1 in = tax 4 in,right 3 head 73 tail 74,T48.3 ( 126 ) 51.4
step 376 IN! (to mad),mad.3 out = ran.3 out,right 0 head 76 tail 75,T49.1 (31 3/8) 31.2
step 270 (to tan),tan 7 in = mag 4 out,right 5 head 55 tail 116,T49.2 ( 64 ) 32.5
step 383 IN! (to has),has.1 out = mag.1 out,right 3 head 78 tail 77,T49.3 ( 95 ) 30.8
step 347 (to ads),ads 6 in = man 5 out,right 9 head 53 tail 105,T49.4 ( 126 ) 30.9
step 330 (to tax),tax 8 in = top 5 out,left 13 head 67 tail 90,T50.1 (44 1/4) 44.1
step 95 (to gig),gig 10 in = had 4 out,left 3 head 54 tail 116,T50.2 (77 7/8) 33.5
step 337 (to coy),coy 1 in = lip 2 in,right 0 head 76 tail 97,T50.3 ( 126 ) 48
step 399 (to log),log 7 in = maw 6 out,left 12 head 53 tail 102,T51.1 (31 3/8) 31.3
step 371 (to lip),lip 10 in = mad 4 out,right 4 head 53 tail 115,T51.2 (63 7/8) 32.3
step 390 (to pix),pix 8 in = tub 6 out,right 3 head 50 tail 114,T51.3 (94 3/8) 30.3
step 375 IN! (to dew),dew.2 out = mad.1 out,right 0 head 90 tail 90,T51.4 ( 126 ) 31.6
step 368 (to lip),lip 7 in = top 6 out,right 8 head 66 tail 106,T52.1 (43 3/4) 43.6
step 403 IN! (to all),all.2 out = rat.3 out,left 1 head 76 tail 77,T52.2 (77 1/2) 33.6
step 417 (to lug),lug 2 in = tar 1 in,right 11 head 90 tail 90,T52.3 ( 126 ) 48.4
step 110 (to tab),tab 5 in = ace 6 in,left 5 head 69 tail 82,T53.1 (44 3/8) 44.3
step 274 (to tan),tan 11 in = pow 6 out,left 7 head 53 tail 119,T53.2 ( 78 ) 33.4
step 346 (to ads),ads 3 in = pit 6 in,right 19 head 90 tail 90,T53.3 ( 126 ) 47.9
step 348 (to ads),ads 7 in = any 5 out,right 10 head 69 tail 96,T54.1 (40 5/8) 40.5
step 313 IN! (to are),are.3 out = hid.3 out,left 1 head 70 tail 71,T54.2 ( 76 ) 35.2
step 199 (to gin),gin 4 in = lip 3 in,left 10 head 78 tail 71,T54.3 ( 126 ) 49.9
step 22 (to aby),aby 1 in = tea 2 in,right 0 head 79 tail 83,T55.1 (42 7/8) 42.8
step 236 (to pet),pet 9 in = pun 4 out,left 11 head 56 tail 117,T55.2 (77 1/4) 34.2
step 340 (to coy),coy 6 in = pit 5 in,left 6 head 64 tail 71,T55.3 ( 126 ) 48.7
step 288 IN! (to dry),dry.1 out = dib.2 out,left 5 head 77 tail 74,T56.1 (45 7/8) 45.7
step 218 (to ace),ace 12 in = tom 6 out,left 3 head 51 tail 110,T56.2 (78 1/2) 32.5
step 355 IN! (to art),art.4 out = any.4 out,right 1 head 70 tail 70,T56.3 ( 126 ) 47.3
step 327 (to tax),tax 2 in = day 1 in,left 2 head 90 tail 90,T57.1 (44 3/4) 44.6
step 343 (to coy),coy 9 in = ran 4 out,right 11 head 55 tail 123,T57.2 (78 1/4) 33.4
step 386 (to pix),pix 3 in = gun 4 in,left 6 head 78 tail 70,T57.3 ( 126 ) 47.6
step 117 IN! (to den),den.2 out = had.1 out,right 1 head 78 tail 79,T58.1 (43 1/4) 43.1
step 147 (to dab),dab 8 in = ark 4 out,right 6 head 56 tail 107,T58.2 (77 3/8) 34.1
step 405 (to guy),guy 2 in = lug 1 in,right 0 head 75 tail 82,T58.3 ( 126 ) 48.5
step 53 IN! (to ant),ant.3 out = tug.3 out,left 6 head 68 tail 73,T59.1 (41 7/8) 41.7
step 250 (to pig),pig 10 in = rat 4 out,left 1 head 56 tail 110,T59.2 (76 1/2) 34.4
step 178 (to tap),tap 6 in = ads 5 in,left 13 head 64 tail 77,T59.3 ( 126 ) 49.4
step 391 (to pix),pix 9 in = tom 5 out,right 2 head 52 tail 113,T60.1 (31 1/4) 31.2
step 33 (to tea),tea 1 in = ado 2 in,right 0 head 72 tail 76,T60.2 (73 3/4) 42.3
step 24 (to aby),aby 4 in = gig 3 in,right 9 head 72 tail 74,T60.3 ( 126 ) 52.1
step 197 IN! (to mid),mid.3 out = art.3 out,left 12 head 78 tail 71,T61.1 (39 1/2) 39.3
step 141 IN! (to asp),asp.1 out = tie.2 out,right 1 head 70 tail 72,T61.2 (75 7/8) 36.2
step 88 (to gig),gig 1 in = tab 2 in,right 3 head 90 tail 90,T61.3 ( 126 ) 50
step 354 IN! (to art),art.1 out = mad.2 out,right 5 head 90 tail 90,T62.1 (38 1/4) 38.1
step 137 (to lob),lob 8 in = dib 7 out,left 1 head 61 tail 104,T62.2 (75 3/8) 37.1
step 395 (to log),log 1 in = abs 2 in,right 12 head 60 tail 69,T62.3 ( 126 ) 50.4
step 465 IN! (to hid),hid.2 out = quo.1 out,right 0 head 90 tail 90,T63.1 (28 5/8) 28.5
step 216 (to ace),ace 10 in = pop 4 out,left 6 head 54 tail 110,T63.2 (62 1/8) 33.4
step 428 IN! (to dug),dug.2 out = mob.1 out,right 1 head 79 tail 79,T63.3 (93 1/2) 31.2
step 461 (to tar),tar 9 in = mob 4 out,right 18 head 54 tail 119,T63.4 ( 126 ) 32.4
step 488 IN! (to pub),pub.2 out = tip.1 out,left 2 head 77 tail 79,T64.1 (28 1/2) 28.4
step 425 (to lug),lug 12 in = dug 6 out,left 2 head 52 tail 114,T64.2 (61 5/8) 32.9
step 388 (to pix),pix 6 in = dig 5 out,left 2 head 54 tail 111,T64.3 (93 1/4) 31.5
step 152 IN! (to tow),tow.1 out = him.2 out,left 1 head 77 tail 78,T64.4 ( 126 ) 32.6
step 413 (to guy),guy 12 in = pun 6 out,right 4 head 52 tail 119,T65.1 (33 3/8) 33.3
step 404 IN! (to all),all.3 out = did.3 out,right 0 head 71 tail 71,T65.2 (70 3/4) 37.2
step 431 (to ago),ago 5 in = tip 4 out,left 8 head 45 tail 126,T65.3 (96 7/8) 25.9
step 440 (to day),day 7 in = put 8 out,left 1 head 44 tail 139,T65.4 ( 126 ) 29.1
step 499 IN! (to did),did.1 out = man.2 out,right 0 head 79 tail 81,T66.1 ( 30 ) 29.8
step 476 IN! (to hem),hem.1 out = rad.2 out,right 2 head 79 tail 80,T66.2 (61 1/2) 31.4
step 402 (to log),log 10 in = all 5 out,left 2 head 52 tail 99,T66.3 (93 1/2) 31.8
step 21 (to low),low 12 in = dim 6 out,right 3 head 51 tail 111,T66.4 ( 126 ) 32.4
step 334 (to tax),tax 12 in = due 4 out,right 6 head 56 tail 106,T67.1 (36 1/8) 36
step 222 (to cry),cry 3 in = pie 5 in,left 8 head 77 tail 82,T67.2 (78 7/8) 42.6
step 457 (to tar),tar 3 in = aft 4 in,left 20 head 76 tail 96,T67.3 ( 126 ) 47
step 369 (to lip),lip 8 in = ran 5 out,left 4 head 54 tail 114,T68.1 (32 7/8) 32.7
step 128 (to lie),lie 12 in = hen 8 out,right 6 head 53 tail 111,T68.2 (67 7/8) 34.9
step 441 (to day),day 8 in = top 7 out,right 1 head 43 tail 139,T68.3 (96 5/8) 28.6
step 464 IN! (to hid),hid.1 out = mob.2 out,right 0 head 90 tail 90,T68.4 ( 126 ) 29.2
step 482 (to gut),gut 7 in = may 4 out,left 7 head 54 tail 111,T69.1 (31 1/2) 31.4
step 242 IN! (to pop),pop.3 out = pun.3 out,right 1 head 72 tail 71,T69.2 (64 1/2) 32.8
step 439 (to day),day 6 in = arc 5 out,right 1 head 51 tail 134,T69.3 (94 3/8) 29.8
step 484 (to gut),gut 9 in = hex 5 out,right 4 head 52 tail 113,T69.4 ( 126 ) 31.5
step 318 (to cut),cut 8 in = hit 4 out,right 0 head 57 tail 110,T70.1 (34 5/8) 34.6
step 196 IN! (to mid),mid.1 out = ham.2 out,left 4 head 90 tail 90,T70.2 (77 1/4) 42.3
step 469 (to lot),lot 5 in = pod 3 in,left 8 head 90 tail 90,T70.3 ( 126 ) 48.7
step 23 (to aby),aby 3 in = ply 6 in,right 12 head 76 tail 70,T71.1 ( 55 ) 54.9
step 305 (to lye),lye 7 in = hid 5 out,left 12 head 58 tail 102,T71.2 (90 1/2) 35.4
step 311 IN! (to tot),tot.1 out = are.2 out,left 2 head 74 tail 75,T71.3 ( 126 ) 35.4
step 279 (to cub),cub 1 in = gnu 2 in,left 7 head 78 tail 76,T72.1 (56 3/4) 56.6
step 74 (to ado),ado 11 in = asp 5 out,right 6 head 54 tail 106,T72.2 (90 7/8) 34
step 496 (to abs),abs 10 in = did 6 out,right 12 head 56 tail 78,T72.3 ( 126 ) 35
step 175 (to tap),tap 1 in = pew 2 in,right 5 head 90 tail 90,T73.1 (55 1/4) 55.2
step 319 (to cut),cut 9 in = and 6 out,left 12 head 56 tail 110,T73.2 (90 5/8) 35.1
step 509 IN! (to men),men.1 out = quo.2 out,right 0 head 70 tail 73,T73.3 ( 126 ) 35.3
step 145 (to dab),dab 5 in = tax 7 in,right 2 head 67 tail 69,T74.1 (53 1/2) 53.4
step 471 (to lot),lot 8 in = and 5 out,right 7 head 57 tail 105,T74.2 (89 3/8) 35.7
step 433 (to ago),ago 7 in = mix 8 out,right 8 head 55 tail 113,T74.3 ( 126 ) 36.6
step 328 (to tax),tax 5 in = pen 4 in,right 4 head 76 tail 67,T75.1 (56 1/8) 56.1
step 332 (to tax),tax 10 in = arc 4 out,right 13 head 56 tail 101,T75.2 ( 91 ) 34.6
step 72 (to ado),ado 9 in = pow 5 out,left 1 head 56 tail 105,T75.3 ( 126 ) 34.9
step 202 (to gin),gin 8 in = dew 4 out,left 5 head 57 tail 109,T76.1 (35 3/8) 35.3
step 56 (to aid),aid 3 in = act 4 in,right 5 head 79 tail 70,T76.2 (78 1/8) 42.6
step 177 (to tap),tap 5 in = coy 4 in,right 10 head 74 tail 65,T76.3 ( 126 ) 47.7
step 438 (to day),day 4 in = cup 3 in,left 3 head 66 tail 98,T77.1 (45 3/4) 45.7
step 501 IN! (to man),man.1 out = two.2 out,right 2 head 64 tail 63,T77.2 (84 5/8) 38.7
step 41 (to tea),tea 10 in = mic 7 out,left 2 head 59 tail 102,T77.3 ( 126 ) 41.2
step 295 (to goo),goo 9 in = til 5 out,right 0 head 55 tail 109,T78.1 ( 34 ) 33.9
step 64 IN! (to mat),mat.2 out = hen.3 out,right 4 head 78 tail 77,T78.2 (76 5/8) 42.5
step 243 (to pig),pig 2 in = log 4 in,right 3 head 61 tail 72,T78.3 ( 126 ) 49.3
step 180 (to tap),tap 9 in = mid 5 out,left 4 head 58 tail 113,T79.1 (36 7/8) 36.7
step 387 (to pix),pix 5 in = tag 5 in,right 5 head 72 tail 75,T79.2 (79 3/8) 42.4
step 290 (to goo),goo 2 in = log 3 in,left 5 head 64 tail 73,T79.3 ( 126 ) 46.5
step 176 (to tap),tap 2 in = goo 1 in,right 4 head 70 tail 77,T80.1 (53 3/8) 53.2
step 494 (to abs),abs 8 in = hip 4 out,right 2 head 58 tail 90,T80.2 (89 1/4) 35.7
step 475 (to lot),lot 12 in = hem 5 out,left 10 head 57 tail 105,T80.3 ( 126 ) 36.7
step 366 (to lip),lip 4 in = age 3 in,right 0 head 78 tail 73,T81.1 (45 5/8) 45.5
step 455 IN! (to rat),rat.2 out = maw.2 out,right 4 head 62 tail 62,T81.2 (84 5/8) 38.8
step 217 (to ace),ace 11 in = mic 8 out,right 2 head 59 tail 101,T81.3 ( 126 ) 41.3
step 467 (to lot),lot 1 in = tee 3 in,right 0 head 90 tail 90,T82.1 (57 3/8) 57.2
step 432 (to ago),ago 6 in = hey 5 out,left 6 head 54 tail 113,T82.2 ( 91 ) 33.5
step 247 (to pig),pig 7 in = tot 5 out,left 2 head 57 tail 107,T82.3 ( 126 ) 34.9
step 57 (to aid),aid 4 in = lie 7 in,right 10 head 70 tail 68,T83.1 ( 53 ) 52.9
step 448 (to dad),dad 8 in = maw 5 out,right 7 head 58 tail 96,T83.2 ( 89 ) 35.8
step 443 IN! (to top),top.4 out = put.3 out,left 1 head 90 tail 90,T83.3 ( 126 ) 36.9
step 157 (to poi),poi 5 in = cut 6 in,left 1 head 72 tail 74,T84.1 ( 47 ) 46.9
step 118 IN! (to den),den.3 out = mac.3 out,left 2 head 75 tail 78,T84.2 (85 5/8) 38.5
step 374 IN! (to dew),dew.1 out = top.2 out,right 10 head 77 tail 73,T84.3 ( 126 ) 40.3
step 8 (to cot),cot 7 in = den 6 out,left 5 head 59 tail 105,T85.1 (39 1/4) 39.1
step 336 IN! (to due),due.2 out = top.1 out,left 11 head 71 tail 66,T85.2 ( 82 ) 42.6
step 174 IN! (to hen),hen.4 out = mod.3 out,left 7 head 70 tail 73,T85.3 ( 126 ) 43.8
step 302 (to lye),lye 2 in = dad 3 in,right 7 head 56 tail 70,T86.1 (54 1/4) 54.1
step 320 (to cut),cut 10 in = rag 5 out,left 2 head 56 tail 109,T86.2 (89 7/8) 35.5
step 181 (to tap),tap 10 in = hat 4 out,right 0 head 57 tail 113,T86.3 ( 126 ) 36
step 209 (to ace),ace 1 in = cut 2 in,left 1 head 73 tail 70,T87.1 (54 7/8) 54.7
step 208 IN! (to ark),ark.1 out = due.3 out,right 0 head 73 tail 73,T87.2 (90 3/8) 35.3
step 248 (to pig),pig 8 in = all 6 out,left 3 head 57 tail 107,T87.3 ( 126 ) 35.6
step 231 (to pet),pet 2 in = cow 1 in,right 2 head 90 tail 90,T88.1 (52 1/2) 52.4
step 51 (to ply),ply 13 in = pug 4 out,left 2 head 56 tail 115,T88.2 (88 5/8) 35.9
step 119 IN! (to tug),tug.1 out = mic.4 out,right 1 head 90 tail 90,T88.3 ( 126 ) 37.3
step 361 (to gnu),gnu 9 in = may 5 out,left 2 head 53 tail 114,T89.1 (32 5/8) 32.5
step 370 (to lip),lip 9 in = put 5 out,left 7 head 65 tail 106,T89.2 (75 7/8) 43
step 481 (to gut),gut 5 in = sup 3 in,right 10 head 77 tail 71,T89.3 ( 126 ) 50
step 396 (to log),log 2 in = dad 2 in,left 6 head 65 tail 72,T90.1 (48 7/8) 48.8
step 435 IN! (to mar),mar.1 out = tip.2 out,right 2 head 90 tail 90,T90.2 (86 1/4) 37.1
step 326 (to tax),tax 1 in = ago 2 in,left 3 head 90 tail 90,T90.3 ( 126 ) 39.7
step 483 (to gut),gut 8 in = mix 5 out,left 3 head 54 tail 109,T91.1 (31 3/8) 31.2
step 200 (to gin),gin 5 in = day 5 in,right 3 head 90 tail 90,T91.2 (75 5/8) 44.2
step 246 (to pig),pig 6 in = dad 6 in,left 3 head 52 tail 73,T91.3 ( 126 ) 50.2
step 89 (to gig),gig 2 in = lie 1 in,left 7 head 75 tail 78,T92.1 (55 5/8) 55.5
step 299 IN! (to pro),pro.1 out = til.2 out,left 1 head 75 tail 75,T92.2 (90 3/4) 35
step 272 (to tan),tan 9 in = rad 5 out,right 0 head 56 tail 117,T92.3 ( 126 ) 35.1
step 458 (to tar),tar 6 in = got 5 in,left 7 head 74 tail 59,T93.1 (49 1/4) 49.1
step 49 (to ply),ply 11 in = him 4 out,left 1 head 57 tail 115,T93.2 (86 3/8) 37
step 289 IN! (to dry),dry.3 out = mar.3 out,left 1 head 80 tail 78,T93.3 ( 126 ) 39.5
step 34 (to tea),tea 3 in = poi 6 in,left 1 head 76 tail 71,T94.1 ( 45 ) 44.9
step 364 IN! (to dib),dib.4 out = pub.3 out,right 5 head 78 tail 78,T94.2 (84 1/2) 39.3
step 356 (to gnu),gnu 1 in = pie 1 in,left 1 head 69 tail 71,T94.3 ( 126 ) 41.4
step 449 (to dad),dad 9 in = din 4 out,left 24 head 57 tail 82,T95.1 (34 3/8) 34.2
step 518 (to gun),gun 10 in = ask 4 out,right 9 head 55 tail 114,T95.2 (68 3/4) 34.2
step 565 IN! (to hew),hew.2 out = max.1 out,right 0 head 90 tail 90,T95.3 (97 1/8) 28.2
step 566 IN! (to tub),tub.3 out = ask.3 out,left 2 head 77 tail 77,T95.4 ( 126 ) 28.8
step 531 (to age),age 10 in = ran 6 out,right 1 head 52 tail 121,T96.1 (32 5/8) 32.5
step 102 (to tad),tad 9 in = ark 5 out,right 3 head 54 tail 125,T96.2 (66 1/4) 33.5
step 610 (to aft),aft 8 in = hay 5 out,left 2 head 49 tail 112,T96.3 (95 5/8) 29.1
step 521 IN! (to and),and.2 out = dig.1 out,right 0 head 90 tail 90,T96.4 ( 126 ) 30.3
step 552 (to pen),pen 8 in = rap 5 out,left 11 head 52 tail 116,T97.1 ( 31 ) 30.9
step 412 (to guy),guy 11 in = max 6 out,right 2 head 52 tail 118,T97.2 (64 1/2) 33.3
step 609 (to aft),aft 7 in = dud 5 out,left 3 head 52 tail 113,T97.3 (95 1/8) 30.5
step 590 (to cup),cup 11 in = map 5 out,left 2 head 50 tail 114,T97.4 ( 126 ) 30.8
step 539 (to pit),pit 10 in = toe 4 out,left 17 head 46 tail 115,T98.1 (31 5/8) 31.6
step 92 (to gig),gig 7 in = mac 5 out,left 2 head 55 tail 115,T98.2 (65 3/8) 33.5
step 532 IN! (to ran),ran.1 out = dog.2 out,right 0 head 90 tail 90,T98.3 (95 1/8) 29.7
step 546 (to ail),ail 5 in = may 3 out,right 12 head 54 tail 119,T98.4 ( 126 ) 30.7
step 551 (to pen),pen 7 in = mix 6 out,left 7 head 53 tail 117,T99.1 ( 31 ) 30.9
step 203 (to gin),gin 9 in = ark 6 out,left 9 head 53 tail 105,T99.2 (63 3/4) 32.6
step 562 (to tag),tag 11 in = ale 5 out,right 0 head 50 tail 110,T99.3 (94 1/2) 30.6
step 528 (to age),age 7 in = dog 5 out,left 4 head 53 tail 122,T99.4 ( 126 ) 31.4
step 66 (to ado),ado 1 in = cry 2 in,right 0 head 90 tail 90,T100.1 (46 5/8) 46.6
step 478 IN! (to rad),rad.1 out = met.2 out,left 2 head 78 tail 79,T100.2 ( 81 ) 34.2
step 165 (to cue),cue 2 in = pig 5 in,right 4 head 74 tail 74,T100.3 ( 126 ) 44.8
step 513 (to gun),gun 3 in = pod 4 in,right 2 head 80 tail 77,T101.1 (51 5/8) 51.5
step 498 (to abs),abs 12 in = ten 5 out,left 16 head 54 tail 81,T101.2 ( 85 ) 33.2
step 5 (to cot),cot 4 in = aid 5 in,left 8 head 75 tail 72,T101.3 ( 126 ) 40.8
step 561 (to tag),tag 10 in = tic 4 out,right 8 head 55 tail 111,T102.1 (33 7/8) 33.8
step 492 (to abs),abs 5 in = cop 4 in,right 2 head 101 tail 47,T102.2 (77 3/8) 43.3
step 436 IN! (to mar),mar.4 out = hey.3 out,right 1 head 71 tail 70,T102.3 ( 126 ) 48.5
step 367 (to lip),lip 5 in = cup 6 in,right 3 head 75 tail 77,T103.1 (49 3/8) 49.3
step 560 (to tag),tag 9 in = tub 4 out,right 1 head 55 tail 110,T103.2 (83 1/4) 33.7
step 514 (to gun),gun 6 in = add 3 in,right 1 head 80 tail 73,T103.3 ( 126 ) 42.7
step 506 (to loo),loo 8 in = quo 4 out,right 5 head 54 tail 79,T104.1 (31 1/2) 31.4
step 463 (to tar),tar 11 in = die 7 out,right 1 head 42 tail 112,T104.2 (64 1/4) 32.5
step 604 IN! (to dip),dip.2 out = pup.1 out,right 0 head 78 tail 77,T104.3 (94 7/8) 30.5
step 611 (to aft),aft 9 in = pup 5 out,right 8 head 51 tail 110,T104.4 ( 126 ) 31
step 291 (to goo),goo 3 in = ads 4 in,right 5 head 62 tail 70,T105.1 (45 3/4) 45.7
step 570 IN! (to met),met.1 out = doe.1 out,right 3 head 70 tail 67,T105.2 (80 5/8) 34.6
step 595 (to git),git 3 in = pic 4 in,left 4 head 90 tail 90,T105.3 ( 126 ) 45.3
step 339 (to coy),coy 5 in = age 4 in,right 12 head 79 tail 79,T106.1 (46 1/4) 46.2
step 297 (to goo),goo 11 in = man 6 out,right 2 head 54 tail 108,T106.2 (80 3/4) 34.4
step 456 (to tar),tar 2 in = loo 1 in,right 15 head 58 tail 105,T106.3 ( 126 ) 45.1
step 444 (to dad),dad 1 in = loo 2 in,left 5 head 64 tail 68,T107.1 (50 1/2) 50.4
step 508 (to loo),loo 10 in = amp 5 out,left 10 head 54 tail 79,T107.2 (83 5/8) 33
step 585 (to cup),cup 5 in = gum 4 in,right 0 head 78 tail 72,T107.3 ( 126 ) 42.2
step 69 (to ado),ado 5 in = tan 6 in,left 3 head 80 tail 67,T108.1 ( 52 ) 51.9
step 426 IN! (to ape),ape.2 out = dug.1 out,right 0 head 80 tail 79,T108.2 (85 1/4) 33.1
step 54 IN! (to ant),ant.4 out = ass.3 out,left 5 head 70 tail 75,T108.3 ( 126 ) 40.6
step 144 (to dab),dab 4 in = gin 3 in,left 6 head 71 tail 74,T109.1 (49 1/8) 49
step 296 (to goo),goo 10 in = did 4 out,left 5 head 55 tail 108,T109.2 ( 83 ) 33.8
step 15 (to low),low 6 in = act 3 in,left 5 head 90 tail 90,T109.3 ( 126 ) 42.8
step 255 (to cow),cow 2 in = lye 1 in,left 3 head 72 tail 96,T110.1 (52 1/2) 52.3
step 545 (to ail),ail 4 in = hex 3 out,left 12 head 57 tail 115,T110.2 (85 3/4) 33.1
step 164 IN! (to toy),toy.2 out = mic.1 out,left 4 head 79 tail 75,T110.3 ( 126 ) 40.2
step 316 (to cut),cut 5 in = gun 5 in,left 5 head 72 tail 67,T111.1 ( 47 ) 46.8
step 453 IN! (to dot),dot.2 out = rat.1 out,left 1 head 76 tail 75,T111.2 (81 1/4) 34.2
step 557 (to tag),tag 6 in = pic 3 in,right 2 head 80 tail 70,T111.3 ( 126 ) 44.6
step 192 (to pew),pew 8 in = art 5 out,left 11 head 68 tail 107,T112.1 (46 1/8) 46.1
step 252 (to pig),pig 12 in = pro 4 out,right 4 head 55 tail 110,T112.2 (80 3/4) 34.5
step 419 (to lug),lug 6 in = aft 5 in,left 1 head 65 tail 71,T112.3 ( 126 ) 45.1
